2026-09-19 17:58:43,655 INFO    MainThread:25632 [wandb_setup.py:_flush():81] Current SDK version is 0.30.0
2026-09-19 17:58:43,656 INFO    MainThread:25632 [wandb_setup.py:_flush():81] Configure stats pid to 25632
2026-09-19 17:58:43,656 INFO    MainThread:25632 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-09-19 17:58:43,656 INFO    MainThread:25632 [wandb_init.py:setup_run_log_directory():739] Logging user logs to c:\Users\ASUS\Data_Science_ Junior\DL\Tuan02\house_price\experiments\pytorch_mlp\20260919_175839\wandb\run-20260919_175843-dqyc6yph\logs\debug.log
2026-09-19 17:58:43,656 INFO    MainThread:25632 [wandb_init.py:setup_run_log_directory():740] Logging internal logs to c:\Users\ASUS\Data_Science_ Junior\DL\Tuan02\house_price\experiments\pytorch_mlp\20260919_175839\wandb\run-20260919_175843-dqyc6yph\logs\debug-internal.log
2026-09-19 17:58:43,656 INFO    MainThread:25632 [wandb_init.py:monkeypatch_ipython():658] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x00000265549AEA50>
2026-09-19 17:58:43,656 INFO    MainThread:25632 [wandb_init.py:init():783] calling init triggers
2026-09-19 17:58:43,656 INFO    MainThread:25632 [wandb_init.py:init():788] wandb.init called with sweep_config: {}
config: {'epochs': 59, 'input_features': 272, 'mae': 16385.03515625, 'rmse': 28057.8499532662, 'r2': 0.897365152835846, 'rmsle': 0.13540696495551482, '_wandb': {}}
2026-09-19 17:58:43,656 INFO    MainThread:25632 [wandb_init.py:init():831] starting backend
2026-09-19 17:58:43,656 INFO    MainThread:25632 [wandb_init.py:init():846] sending inform_init request
2026-09-19 17:58:43,667 INFO    MainThread:25632 [wandb_init.py:init():851] backend started and connected
2026-09-19 17:58:43,680 INFO    MainThread:25632 [wandb_run.py:_label_probe_notebook():1213] probe notebook
2026-09-19 17:58:43,680 INFO    MainThread:25632 [wandb_init.py:init():921] updated telemetry
2026-09-19 17:58:43,779 INFO    MainThread:25632 [wandb_init.py:init():944] communicating run to backend with 90.0 second timeout
2026-09-19 17:58:44,781 INFO    MainThread:25632 [wandb_init.py:init():981] starting run threads in backend
2026-09-19 17:58:44,874 INFO    MainThread:25632 [wandb_run.py:_console_start():2531] atexit reg
2026-09-19 17:58:44,874 INFO    MainThread:25632 [wandb_run.py:_redirect():2381] redirect: wrap_raw
2026-09-19 17:58:44,875 INFO    MainThread:25632 [wandb_run.py:_redirect():2450] Wrapping output streams.
2026-09-19 17:58:44,875 INFO    MainThread:25632 [wandb_run.py:_redirect():2473] Redirects installed.
2026-09-19 17:58:44,877 INFO    MainThread:25632 [wandb_init.py:init():1019] run started, returning control to user process
2026-09-19 17:58:45,668 INFO    MainThread:25632 [wandb_run.py:_finish():2303] finishing run phuongquyen-data-engineer/house-price-regression/dqyc6yph
2026-09-19 17:58:45,723 INFO    MainThread:25632 [jupyter.py:save_history():441] not saving jupyter history
2026-09-19 17:58:45,723 INFO    MainThread:25632 [jupyter.py:save_ipynb():368] not saving jupyter notebook
2026-09-19 17:58:45,723 INFO    MainThread:25632 [wandb_init.py:_jupyter_teardown():637] cleaning up jupyter logic
2026-09-19 17:58:45,723 INFO    MainThread:25632 [wandb_run.py:_atexit_cleanup():2498] got exitcode: 0
2026-09-19 17:58:45,724 INFO    MainThread:25632 [wandb_run.py:_restore():2480] restore
2026-09-19 17:58:45,724 INFO    MainThread:25632 [wandb_run.py:_restore():2486] restore done
2026-09-19 17:58:49,984 INFO    MainThread:25632 [wandb_run.py:_footer_sync_info():3901] logging synced files
